name,name_hi,category,moisture_pct,water_activity,critical_aw,fat_pct,o2_sensitive,light_sensitive,respiring,respiration_rate,default_shelf_life_days,ph,storage_temp_min_c,storage_temp_max_c,main_deterioration_factor,source_url,notes
Rice,चावल,staple,9.93,0.6,0.65,0.52,low,low,no,,365,6.35,15,25,insect_infestation_and_moisture_uptake,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code A015 'Rice, raw, milled' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (9.93 / 0.52). AW: APPROX 0.6 - not measured; IFCT moisture 9.93% is below FAO safe-storage moisture for rice (13%, equilibrating at 65-70% ERH), so aw < ~0.65 (FAO grain storage manual https://www.fao.org/4/x5065e/x5065e04.htm). CRITICAL_AW: APPROX 0.65 (FAO 65-70% ERH fungal threshold, lower bound). PH: APPROX 6.35 = midpoint of FDA 6.00-6.70 for COOKED white rice (raw grain not listed) (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 365 d = lower bound of white rice '1-2 years' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf). STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, critical_aw, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Dal,दाल,staple,9.2,0.6,0.65,1.56,low,low,no,,365,6.57,15,25,insect_infestation_and_moisture_uptake,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code B021 'Red gram, dal' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (9.20 / 1.56); toor/arhar dal chosen as representative dal. AW: APPROX 0.6 - not measured; same FAO reasoning as rice (pulses safe at <=15% moisture) (FAO grain storage manual https://www.fao.org/4/x5065e/x5065e04.htm). CRITICAL_AW: APPROX 0.65 (FAO fungal threshold, lower bound). PH: APPROX 6.57 = midpoint of FDA 6.30-6.83 for COOKED lentils (dry dal not listed) (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: 365 d = dried peas and beans '12 months' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf). STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, critical_aw, ph, storage_temp_min_c, storage_temp_max_c."
Masala Powder,मसाला पाउडर,staple,8.8,0.45,0.48,14.0,medium,high,no,,730,,15,25,aroma_loss_colour_fading_and_caking,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170924/nutrients,"COMPOSITION: IFCT 2017 lists only single spices (turmeric powder G033 10.58/5.03; red chillies G022 14.57/6.40), not blends; APPROX proxy USDA FDC 170924 'Spices, curry powder' (8.80 water, 14.0 fat). AW: APPROX 0.45 - within the 0.30-0.60 typical range for dried spices (Novasina https://novasina.ch/understanding-and-controlling-water-activity-in-spices/); blend not measured. CRITICAL_AW: APPROX 0.48 - Novasina example: chili powder begins to clump above 0.48 aw at 30 C (single-spice example, not this blend). PH: blank - no authoritative value for a spice blend. SHELF LIFE: APPROX 730 d = lower bound of ground spices '2-3 years' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf); aroma declines earlier. LIGHT: high = pigment (curcumin, capsanthin) fading in light (general food chemistry; no single URL). STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, critical_aw, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Tomato,टमाटर,fruit,93.79,0.98,,0.25,low,low,yes,17.5,7,4.6,8,10,over_ripening_softening_and_fungal_decay,https://postharvest.ucdavis.edu/produce-facts-sheets/tomato,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code D075 'Tomato, ripe, hybrid' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (93.79 / 0.25). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 4.6 = midpoint of FDA 4.30-4.90 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 7 d = lower bound of firm-ripe tomato '1-3 weeks' (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis fact sheet gives 8-10 d for ripe fruit. STORAGE: 8-10 C for firm-ripe tomato (Cantwell 2001); MAP 3-5% O2 + 3-5% CO2. Chilling injury below 10 C with prolonged holding (UC Davis). RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 17.5 = midpoint of UC Davis 14-21 mL CO2/kg/h at 20 C, mature-green ripening (https://postharvest.ucdavis.edu/produce-facts-sheets/tomato). Rate at storage temp 10 C is 6-9. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Apple,सेब,fruit,83.01,0.98,,0.64,low,low,yes,17.9,90,3.65,-1.1,0,softening_moisture_loss_and_decay,https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code E001 'Apple, big' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (83.01 / 0.64). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 3.65 = midpoint of FDA 'eating' apples 3.30-4.00 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 90 d = lower bound of '3-6 months' at -1.1 to 0 C (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf). STORAGE: -1.1 to 0 C, CA 2-3% O2 + 1-2% CO2 (Cantwell 2001); some cultivars (e.g. Honeycrisp, 3 C per UC Davis) are chilling-sensitive. RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. UC Davis Honeycrisp sheet lists no rate, so value is CALCULATED: Becker & Fricke ASHRAE correlation mCO2 = f(9T/5+32)^g, apples f=5.687e-4, g=2.598 (https://b.web.umkc.edu/beckerb/publications/chapters/trans_resp.pdf) gives 32.8 mg CO2/kg/h at 20 C, converted at 1.831 mg CO2/mL (20 C, 1 atm) to 17.9 mL CO2/kg/h. Audit check: the same correlation gives 17.2 mL CO2/kg/h for tomato at 20 C vs UC Davis 14-21. Rate at 0 C ~2.4. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Banana,केला,fruit,71.93,0.98,,0.33,low,low,yes,45,7,4.85,13,15,ripening_and_crown_rot,https://postharvest.ucdavis.edu/produce-facts-sheets/banana,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code E012 'Banana, ripe, robusta' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (71.93 / 0.33). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 4.85 = midpoint of FDA 4.50-5.20 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 7 d = lower bound of '1-4 weeks' (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis: mature-green 2-4 weeks in air at 14 C. STORAGE: 13-15 C (Cantwell 2001; UC Davis 13-14 C); CA 2-5% O2 + 2-5% CO2; chilling injury below 13 C. RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 45 = midpoint of UC Davis 20-70 mL CO2/kg/h at 20 C, where the low end is mature-green and the high end ripening fruit (https://postharvest.ucdavis.edu/produce-facts-sheets/banana); stage-dependent, so a wide uncertainty. Rate at 13 C is 10-30. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Mango,आम,fruit,88.44,0.98,,0.55,low,low,yes,57.5,14,4.1,10,13,ripening_anthracnose_and_stem_end_rot,https://postharvest.ucdavis.edu/produce-facts-sheets/mango,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code E036 'Mango, ripe, banganapalli' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (88.44 / 0.55); IFCT ripe-mango cultivars span 84.14-88.44 moisture. AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 4.1 = midpoint of FDA ripe mango 3.40-4.80 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 14 d = lower bound of '2-3 weeks' at 13 C (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis 2-4 weeks in air. STORAGE: 10-13 C (UC Davis: 13 C mature-green, 10 C partially ripe/ripe); CA 3-5% O2 + 5-8% CO2 (UC Davis). RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 57.5 = midpoint of UC Davis 35-80 mL CO2/kg/h at 20 C (https://postharvest.ucdavis.edu/produce-facts-sheets/mango). Rate at 10 C is 12-16, at 13 C 15-22. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Grapes,अंगूर,fruit,85.55,0.98,,0.26,low,low,yes,13.5,30,3.3,-0.5,0,grey_mould_botrytis_and_stem_browning,https://postharvest.ucdavis.edu/produce-facts-sheets/grape,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code E026 'Grapes, seedless, round, green' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (85.55 / 0.26), Thompson-type. AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 3.3 = middle of FDA grape range 2.80-3.82 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 30 d = conservative value within '1-6 months' (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); cultivar-dependent, UC Davis gives no single duration. STORAGE: -0.5 to 0 C (Cantwell 2001; UC Davis -1 to 0 C); UC Davis: CA not recommended for table grapes, SO2 pads for Botrytis. RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 13.5 = midpoint of UC Davis 12-15 mL CO2/kg/h at 20 C (https://postharvest.ucdavis.edu/produce-facts-sheets/grape). Rate at 0 C is 1-2. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Spinach,पालक,vegetable,90.31,0.98,,0.64,low,low,yes,114.5,10,6.15,0,0,wilting_yellowing_and_bacterial_soft_rot,https://postharvest.ucdavis.edu/produce-facts-sheets/spinach,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code C033 'Spinach' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (90.31 / 0.64). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 6.15 = midpoint of FDA 5.50-6.80 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 10 d = lower bound of '10-14 days' (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis: not more than 2 weeks. STORAGE: 0 C, 95-100% RH (Cantwell 2001, UC Davis); freezing injury below -0.3 C. MAP for prewashed leaves 1-3% O2 + 8-10% CO2 (UC Davis). RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 114.5 = midpoint of UC Davis 86-143 mL CO2/kg/h at 20 C (https://postharvest.ucdavis.edu/produce-facts-sheets/spinach). Rate at 0 C is 9-11. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Carrot,गाजर,vegetable,87.69,0.98,,0.47,low,low,yes,35.5,90,6.14,0,0,moisture_loss_wilting_and_decay,https://postharvest.ucdavis.edu/produce-facts-sheets/carrot,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code F002 'Carrot, orange' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (87.69 / 0.47). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 6.14 = midpoint of FDA 5.88-6.40 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 90 d = lower bound of topped carrots '3-6 months' at 0 C, 98-100% RH (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis fact sheet says 7-9 months for mature topped roots; bunched carrots only 10-14 d. STORAGE: 0 C (Cantwell 2001, UC Davis); no CA benefit, ethylene causes bitterness. RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 35.5 = midpoint of UC Davis 23-48 mL CO2/kg/h at 20 C for topped carrots (https://postharvest.ucdavis.edu/produce-facts-sheets/carrot). Rate at 0 C is 5-10. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Capsicum,शिमला मिर्च,vegetable,93.89,0.98,,0.34,low,low,yes,19,14,5.57,7,10,moisture_loss_softening_and_grey_mould,https://postharvest.ucdavis.edu/produce-facts-sheets/bell-pepper,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code D033 'Capsicum, green' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (93.89 / 0.34). AW: APPROX 0.98 - FDA Table 3-1 'fresh fruits, vegetables 0.97-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf); not measured for this item. CRITICAL_AW: blank - not applicable to fresh produce in this project. PH: APPROX 5.57 = midpoint of FDA green peppers 5.20-5.93 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 14 d = lower bound of '2-3 weeks' at 7-10 C (Cantwell 2001 UC Davis table https://postharvest.ucdavis.edu/sites/g/files/dgvnsk12711/files/inline-files/230191.pdf); UC Davis: 3-5 weeks at 7.5 C. STORAGE: 7-10 C (Cantwell 2001; UC Davis best at 7.5 C, chilling injury after ~2 weeks at 5 C); CA 2-5% O2 + 2-5% CO2. RESPIRATION: DERIVED FROM CO2 - NOT a directly measured O2 value. Value 19 = midpoint of UC Davis 18-20 mL CO2/kg/h at 20 C (https://postharvest.ucdavis.edu/produce-facts-sheets/bell-pepper). Rate at 10 C is 5-8. Converted to the project's mL O2/kg/h column by assuming respiratory quotient ~1.0 (UC Davis/Cantwell: CO2 produced vs O2 consumed ~1.00 for sugar substrate https://postharvest.ucdavis.edu/ask-produce-docs/rates-respiration-information-produce). APPROX. APPROX FIELDS: water_activity, respiration_rate, ph, default_shelf_life_days."
Pickle,अचार,other,60.13,0.85,,11,medium,medium,no,,180,2.5,15,25,yeast_mould_growth_and_oil_rancidity,https://www.chemijournal.com/archives/2018/vol6issue2/PartAC/6-2-85-865.pdf,"COMPOSITION: not in IFCT 2017 or USDA (USDA pickles are cucumber brine). Moisture APPROX 60.13 = oily mango pickle (Recipe III) after 90 days (76.32% at day 0), Saroj & Singh 2018 Int J Chem Stud (homemade recipe, not a commercial sample). Fat APPROX 11 from manufacturer label (Nilon's Mango Pickle 11 g/100 g https://www.nilons.com/products/details/mango-pickle/MTUw); varies with oil level. AW: APPROX 0.85 - ESTIMATE, no published measured value found: label lists 'Sodium (Salt) 13 g' per 100 g; 13 g salt in ~60 g water ~= 18% brine, and NaCl brine of that strength has aw ~0.86. Needs lab measurement. CRITICAL_AW: blank - not applicable (acid/salt-preserved, not moisture-barrier-limited). PH: APPROX 2.5 = midpoint of the same study's oily-pickle pH 2.83 (day 0) to 2.22 (day 90). SHELF LIFE: APPROX 180 d - secondary citation: ten commercial oil mango pickles remained within specified limits after 6 months (Sheth & Nandwana 2004, as cited in Bulla 2010 UAS Dharwad thesis https://krishikosh.egranth.ac.in/server/api/core/bitstreams/54591a6f-3999-4a40-be35-fc89383346f9/content); primary paper not read. STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Coffee Powder,कॉफी पाउडर,other,3.1,0.13,0.4,0.5,medium,medium,no,,365,5.07,15,25,moisture_uptake_caking_and_aroma_loss,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171893/nutrients,"COMPOSITION: not in IFCT 2017; APPROX - INSTANT coffee assumed as the product type: USDA FDC 171893 'Beverages, coffee, instant, regular, powder' (3.10 water, 0.50 fat); filter/roast-and-ground coffee would have much higher fat. AW: 0.13 measured on fresh instant coffee (Lopriore et al. 2025 Foods 14:1826 https://www.mdpi.com/2304-8158/14/10/1826; moisture there 3.58%). CRITICAL_AW: APPROX 0.40 - interpolated: same study found powder stable at 11% and 32% ERH, monolayer at aw 0.48 (6.22% moisture), and critical moisture exceeded within 1 week at 65% ERH. PH: 5.07 measured - brew of fresh instant coffee (0.5 g in 25 mL water) in the same study. AUDIT CORRECTION: previous file had 5.0 APPROX. SHELF LIFE: APPROX 365 d = lower bound of unopened instant coffee '1-2 years' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf). STORAGE: study used 20 C; 15-25 C range is an APPROX ambient assumption. RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, critical_aw, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Frozen Peas,फ्रोज़न मटर,frozen,80.0,0.99,,0.4,medium,medium,no,,300,6.55,-25,-18,freezer_burn_and_oxidative_quality_loss,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170016/nutrients,"COMPOSITION: frozen product not in IFCT 2017 (IFCT D061 fresh peas 73.37 / 0.13); USDA FDC 170016 'Peas, green, frozen, unprepared' (80.0 water, 0.40 fat). AW: APPROX 0.99 - refers to the THAWED product (FDA fresh vegetables 0.97-1.00); in the frozen state aw is set by ice temperature, not composition. CRITICAL_AW: blank - not applicable. PH: APPROX 6.55 = midpoint of FDA 'peas, frozen, cooked' 6.40-6.70 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 300 d = lower bound of frozen vegetables '10-18 months' at 0 F / -18 C (KSU MF3130 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-refrigerator-and-freezer_MF3130.pdf). STORAGE: max -18 C (KSU 0 F or lower); min -25 C is an APPROX assumption (colder is acceptable). RESPIRATION: blanched and frozen - treated as non-respiring; 0. APPROX FIELDS: water_activity, ph, default_shelf_life_days, storage_temp_min_c."
Chicken,चिकन,other,67.15,0.99,,9.0,medium,low,no,,2,6.3,1,4,microbial_spoilage,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code N003 'Chicken, poultry, breast, skinless' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (67.15 / 9.00). AUDIT FLAG: IFCT's own energy for this row (704 kJ = 168 kcal) matches 21.81 protein + 9.00 fat, so 9.00 is the IFCT value, not a transcription slip; but USDA FDC 171077 skinless breast gives 73.9 water / 2.62 fat https://fdc.nal.usda.gov/fdc-app.html#/food-details/171077/nutrients - a large difference (possibly sampling/trim). Retained per IFCT-first rule; lab-verify before relying on it. AW: APPROX 0.99 = lower bound of FDA Table 3-1 'fresh meat, poultry, fish 0.99-1.00' (FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf). CRITICAL_AW: blank - not applicable (high-aw perishable). PH: APPROX 6.3 = midpoint of FDA Table 3-3 chicken 6.2-6.4. SHELF LIFE: APPROX 2 d = upper end of fresh poultry '1-2 days' refrigerated (KSU MF3130 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-refrigerator-and-freezer_MF3130.pdf). STORAGE: APPROX 1-4 C = KSU refrigerator 34-40 F rounded. RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
